,Network,User,Date,Text,Positive,Neutral,Negative,Compound
0,@CNN,Laurent,Thu Nov 02 00:06:03 +0000 2017,@CNN @CNNOpinion He’ll fail. Miserably.,0.0,0.312,0.688,-0.765
1,@CNN,Hear This,Thu Nov 02 00:06:01 +0000 2017,@CNN Because now the world sees us sending a traitor abroad.,0.0,1.0,0.0,0.0
2,@CNN,Larry Capilla,Thu Nov 02 00:06:00 +0000 2017,"@CNN @CNNOpinion He’s running out of chances, He gets worse daily..",0.129,0.647,0.223,-0.3182
3,@CNN,Bee Kay,Thu Nov 02 00:06:00 +0000 2017,@CNN @CNNOpinion WTH. It is so over this is just pulp crap please quit pulling this bs out every time he goes abroa… https://t.co/tzHQn4PjCo,0.077,0.699,0.224,-0.6633
4,@CNN,Desiree,Thu Nov 02 00:06:00 +0000 2017,RT @CNN: The Trump administration has sought cuts to domestic counter-terror programs https://t.co/vb2L3MHa6n https://t.co/xJ3oy2eBfI,0.0,0.855,0.145,-0.296
5,@CNN,Rob Jaimes,Thu Nov 02 00:05:59 +0000 2017,"@WrenchSpinRac @FoxNews @CNN ""Christian"", you call yourself. You're a bigot hiding behind a crucifix.",0.0,0.833,0.167,-0.296
6,@CNN,Shareese Oglesby,Thu Nov 02 00:05:59 +0000 2017,@FoxNews @CNN He’s ignorant and does not know much about Islam. Smh,0.0,0.694,0.306,-0.5267
7,@CNN,Snakes don't talk,Thu Nov 02 00:05:58 +0000 2017,@Dawn_Treloar @debrablueeyes @bisepost1 @FoxNews @CNN It is the same God,0.189,0.811,0.0,0.2732
8,@CNN,Agatha Kerry,Thu Nov 02 00:05:58 +0000 2017,"@CNN @CNNOpinion I think @POTUS acted like a leader #MiddleEast Should he ""be more flexible"" like Obama #UraniumONE… https://t.co/wHWkNrvT8G",0.339,0.661,0.0,0.7346
9,@CNN,Violette Montiel,Thu Nov 02 00:05:58 +0000 2017,RT @FoxNews: .@CNN 's Jake Tapper Says 'Allahu Akbar' Is 'Beautiful' Right After NYC Terror Attack https://t.co/SQ2DWKAUpr,0.0,0.698,0.302,-0.7579
10,@CNN,Ayngel Boshemia,Thu Nov 02 00:05:58 +0000 2017,"@debrablueeyes @bisepost1 @FoxNews @CNN Whoever sacrifices to any god, except the Lord alone, shall be doomed. Exodus 22:19",0.09,0.644,0.266,-0.6249
11,@CNN,rabbithole,Thu Nov 02 00:05:57 +0000 2017,@CNN @CNNOpinion Why? Because he doesn't speak your language of globalism?  Your attack on #trump did not work duri… https://t.co/bMij544Lij,0.0,0.846,0.154,-0.5362
12,@CNN,professor woland,Thu Nov 02 00:05:55 +0000 2017,"@CNN But wait, I thought the Russians gave the election to Trump? Keeping these lies straight is so difficult.",0.084,0.667,0.249,-0.5709
13,@CNN,Jack Cohen,Thu Nov 02 00:05:55 +0000 2017,RT @jacoh55: @CNN @CNNOpinion Dream on.,0.286,0.714,0.0,0.25
14,@CNN,Geoff,Thu Nov 02 00:05:55 +0000 2017,@FoxNews @CNN Wow. Fox is simply moronic,0.304,0.4,0.296,0.0258
15,@CNN,rachel kelly,Thu Nov 02 00:05:54 +0000 2017,"RT @CNN: Paul Manafort has 3 US passports and traveled to Mexico, China and Ecuador with a phone registered under a fake name https://t.co/…",0.0,0.866,0.134,-0.4767
16,@CNN,mike roberts,Thu Nov 02 00:05:54 +0000 2017,"@CNN @realDonaldTrump 
The Russian Troll Farms slithering through social media, before, during and after the electi… https://t.co/TqmmL3dU22",0.0,1.0,0.0,0.0
17,@CNN,Evokin,Thu Nov 02 00:05:53 +0000 2017,@AzzarNTmurt @WeHoGuy1985 @CNN https://t.co/kWDHZb0uZv,0.0,1.0,0.0,0.0
18,@CNN,Mike L.,Thu Nov 02 00:05:53 +0000 2017,@CNN @CNNOpinion What the hell does the COCKROACH NETWORK KNOW ABOUT LEADERSHIP???,0.0,0.682,0.318,-0.7303
19,@CNN,Darvans,Thu Nov 02 00:05:53 +0000 2017,@gsportsjunkie @debrablueeyes @bisepost1 @FoxNews @CNN Explain to us how they are NOT the same god.  Your explanati… https://t.co/NisJq4lRLQ,0.11,0.89,0.0,0.2732
20,@CNN,Greg Haldane,Thu Nov 02 00:05:52 +0000 2017,"@CNN Says the man who degraded women, degraded military vets, degraded minority’s.... hmmmm. President agent orange is on a roll",0.0,0.656,0.344,-0.8126
21,@CNN,ericrunner,Thu Nov 02 00:05:51 +0000 2017,@FoxNews @CNN Talk about cherry picking and spinning a comment/taking it out of context—-you all win the prize for… https://t.co/iawht6Hy6h,0.295,0.705,0.0,0.7964
22,@CNN,Mike,Thu Nov 02 00:05:51 +0000 2017,"RT @WeSupport45: WOW! @AprilDRyan needs to be Fired for idiocy @CNN!
#RETWEET
Visit https://t.co/ZGQ9iC3Voc https://t.co/uNxuUrBRhP",0.236,0.599,0.166,0.3647
23,@CNN,MaryAnn Schorfhaar,Thu Nov 02 00:05:51 +0000 2017,"@Wm_Gattis @THeinrich22 @JosephOmoOsagi1 @FoxNews @CNN Muhammad's history is clear. He was a thief, murderer, sexua… https://t.co/GVQ8Pv5gEN",0.115,0.531,0.354,-0.7506
24,@CNN,Linfong Lee,Thu Nov 02 00:05:51 +0000 2017,"@CNN @CNNOpinion Just like,he never ever be!",0.0,1.0,0.0,0.0
25,@CNN,Don Hicks,Thu Nov 02 00:05:51 +0000 2017,"RT @LauraLoomer: .@andersoncooper GRILLED BY @LauraLoomer live on air. ""Let's talk about how @CNN likes to sponsor #ISIS photo shoots. You…",0.123,0.877,0.0,0.4215
26,@CNN,Richard Steele,Thu Nov 02 00:05:50 +0000 2017,@CNN He's already been charged. What do you want?,0.129,0.693,0.178,-0.128
27,@CNN,A.C. Spollen,Thu Nov 02 00:05:50 +0000 2017,"RT @CNN: Former first lady Laura Bush on the current first family and Trump administration: ""I wish them the very best."" https://t.co/fbiAL…",0.114,0.886,0.0,0.4019
28,@CNN,Joanne Ashton,Thu Nov 02 00:05:49 +0000 2017,"RT @atorres_ryder: @CNN @SHSanders45 I feel bad for the guy that needs to ""service"" her while looking into that face, and those soulless ey…",0.0,0.863,0.137,-0.5423
29,@CNN,Donna,Thu Nov 02 00:05:48 +0000 2017,@FoxNews @CNN Boycott @FoxNews  this is false and didn’t include the entire sentence.,0.089,0.753,0.158,-0.25
30,@CNN,edith crump,Thu Nov 02 00:05:47 +0000 2017,"@CNN @CNNOpinion Meaning.... same as he has thus far.
#MAGA. BEST PRESIDENT EVER!",0.303,0.697,0.0,0.7371
31,@CNN,Kristine Shakhazizia,Thu Nov 02 00:05:46 +0000 2017,@FoxNews @CNN This is awful- faux news APOLOGIZE,0.192,0.539,0.269,-0.2185
32,@CNN,Verse-Atile,Thu Nov 02 00:05:46 +0000 2017,@CNN #spellcheck ? https://t.co/MlLVrJ4SYO,0.0,1.0,0.0,0.0
33,@CNN,Sofie,Thu Nov 02 00:05:45 +0000 2017,@juliebaker12 @stringfellowfr4 @CNN If 2 children (3yo and a 3month old) will never see their mom again cause of th… https://t.co/Eu7xzhi5u3,0.0,1.0,0.0,0.0
34,@CNN,beckyberman,Thu Nov 02 00:05:44 +0000 2017,RT @renato_mariotti: Someone at a meeting with Trump and Papadopoulos told @CNN that Trump didn’t reject meeting Putin. Sessions did. https…,0.0,0.876,0.124,-0.4019
35,@CNN,Amos,Thu Nov 02 00:05:44 +0000 2017,@CNN GOOD!!!!!! This happened on your watch and you’ve done nothing.,0.0,1.0,0.0,0.0
36,@CNN,Mud,Thu Nov 02 00:05:43 +0000 2017,"@CNN Jesus, the cuomos are all sharp as a marble!",0.0,1.0,0.0,0.0
37,@CNN,Rift Raving Rogue,Thu Nov 02 00:05:42 +0000 2017,"@FoxNews @CNN TBH Christians said the same thing after vegas, pulse, and every other national tragedy 
There's your… https://t.co/6zQV9FGJga",0.0,0.804,0.196,-0.6597
38,@CNN,David Edgar Stammel,Thu Nov 02 00:05:41 +0000 2017,@schatzschild @hueyx5 @liz_lrutecki @bisepost1 @Dawn_Treloar @debrablueeyes @FoxNews @CNN All of your gods are made up.  Who cares.,0.158,0.842,0.0,0.4588
39,@CNN,2017 National Champs,Thu Nov 02 00:05:41 +0000 2017,"RT @WeSupport45: WOW! @AprilDRyan needs to be Fired for idiocy @CNN!
#RETWEET
Visit https://t.co/ZGQ9iC3Voc https://t.co/uNxuUrBRhP",0.236,0.599,0.166,0.3647
40,@CNN,dnOC,Thu Nov 02 00:05:40 +0000 2017,@CNN @CNNOpinion CNN:  Why are you giving this slime-bag @realdonaldtrump any hope of becoming an adult?  He is not… https://t.co/9DNVJQYCZz,0.227,0.773,0.0,0.6486
41,@CNN,Joseph Hodges,Thu Nov 02 00:05:40 +0000 2017,@SenSchumer &amp; @NancyPelosi are JOKES like the soak A BLOAK at the carnivals - ?? @realDonaldTrump @VP @CNN @FoxNews @seanhannity @kilmeade,0.235,0.765,0.0,0.6408
42,@CNN,Neo199934,Thu Nov 02 00:05:40 +0000 2017,RT @peterboykin: We Already Knew this #BreakingNews : @CNN is #FakeNews via @MagaFirstNews with @PeterBoykin https://t.co/RH1NLvi4tB,0.0,1.0,0.0,0.0
43,@CNN,christoph macfadden,Thu Nov 02 00:05:40 +0000 2017,RT @Road_King61: @ernestograne @WmWallace1911 @seanhannity @CNN  https://t.co/MJYOsAiKUx,0.0,1.0,0.0,0.0
44,@CNN,Cecilia Quick,Thu Nov 02 00:05:39 +0000 2017,@CNN @CNNOpinion Oh please. That ship has sailed,0.247,0.753,0.0,0.3182
45,@CNN,eduard enrique amaya,Thu Nov 02 00:05:39 +0000 2017,Algún medio podría explicar esto? @JuanManSantos @AlvaroUribeVel @German_Vargas @PCambioRadical @RevistaSemana… https://t.co/W5bikNU7Tg,0.0,1.0,0.0,0.0
46,@CNN,PercipientEye,Thu Nov 02 00:05:39 +0000 2017,RT @FoxNews: .@CNN 's Jake Tapper Says 'Allahu Akbar' Is 'Beautiful' Right After NYC Terror Attack https://t.co/SQ2DWKAUpr,0.0,0.698,0.302,-0.7579
47,@CNN,Lani Michelle 2.0,Thu Nov 02 00:05:39 +0000 2017,@WalshFreedom @CNN That’s what Allah Akbar means.,0.0,1.0,0.0,0.0
48,@CNN,Thom Battle Born,Thu Nov 02 00:05:39 +0000 2017,"RT @AD_WHITMAN: .@CNN I'm not on @facebook...

Next?
https://t.co/CDVj95ZiMK https://t.co/qSwvBWaU6U",0.0,1.0,0.0,0.0
49,@CNN,idiot battler,Thu Nov 02 00:05:38 +0000 2017,@KORANISBURNING @SKGrosjean @amndvlnt @ad4danes @WalshFreedom @CNN It’s not. it’s stating their belief,0.0,1.0,0.0,0.0
50,@CNN,VACUOUS CIPHER,Thu Nov 02 00:05:36 +0000 2017,RT @FoxNews: .@CNN 's Jake Tapper Says 'Allahu Akbar' Is 'Beautiful' Right After NYC Terror Attack https://t.co/SQ2DWKAUpr,0.0,0.698,0.302,-0.7579
51,@CNN,??? ?#?????#??????,Thu Nov 02 00:05:35 +0000 2017,RT @CNN: The upcoming Asia trip is a chance for President Trump to act like a leader | via @CNNopinion  https://t.co/YGyhfxbK9Y https://t.c…,0.209,0.791,0.0,0.5423
52,@CNN,Sandy Hill,Thu Nov 02 00:05:35 +0000 2017,"@CNN @CNNOpinion yea see that happening, idiot,",0.0,0.645,0.355,-0.5106
53,@CNN,Winning!,Thu Nov 02 00:05:35 +0000 2017,@CNN Its a failure...just like Obama,0.385,0.615,0.0,0.3612
54,@CNN,Debi Jarrell,Thu Nov 02 00:05:35 +0000 2017,@The_MonkeyMike @CNN You keep throwing the term lesbian at me like I’m supposed 2b afraid or something.  I have goo… https://t.co/AySCYK1Q8g,0.116,0.884,0.0,0.3612
55,@CNN,CNN-WORLD NEWS,Thu Nov 02 00:05:34 +0000 2017,#RT @CNN: The Trump administration has sought cuts to domestic counter-terror programs https://t.co/GwYsOcAPSQ https://t.co/NyLqkCuyVu,0.0,0.855,0.145,-0.296
56,@CNN,Wayne Slaven,Thu Nov 02 00:05:34 +0000 2017,@FoxNews @CNN And your point is ...,0.0,1.0,0.0,0.0
57,@CNN,CNN-WORLD NEWS,Thu Nov 02 00:05:34 +0000 2017,#RT @CNN: The New York City Marathon will go on as planned this weekend -- but with beefed-up security … https://t.co/fpzGiGo1Id,0.14,0.86,0.0,0.4767
58,@CNN,betty jo,Thu Nov 02 00:05:33 +0000 2017,Maybe @IvankaTrump  can bling them out for her hubby @jaredkushner  &amp; her brother @DonaldJTrumpJr Guilty dudes &amp; u… https://t.co/dYo1mGKowm,0.0,0.865,0.135,-0.4215
59,@CNN,Justin R,Thu Nov 02 00:05:33 +0000 2017,@MelvinBagby @CNN I’ve gotten news elsewhere since they chased after ratings during trump campaign and gave him billions in free coverage.,0.142,0.858,0.0,0.5106
60,@CNN,Ayngel Boshemia,Thu Nov 02 00:05:33 +0000 2017,"@debrablueeyes @bisepost1 @FoxNews @CNN If a man commits adultery with another man’s wife, both the man and the wom… https://t.co/oXYkB3ZVXy",0.058,0.942,0.0,0.0258
61,@CNN,Chico-Damus,Thu Nov 02 00:05:33 +0000 2017,@dramaQkarri @SCarlottiTweet @FreeStuffTester @elanajoy1982 @LynnLynniepoo @KeithOlbermann @chrislhayes @maddow… https://t.co/IEJ2lhAxEC,0.0,1.0,0.0,0.0
62,@CNN,CNN-WORLD NEWS,Thu Nov 02 00:05:32 +0000 2017,#RT @CNN: The Russia investigation is raising the stakes on President Trump’s upcoming Asia trip … https://t.co/ZjbFNfRGji,0.0,1.0,0.0,0.0
63,@CNN,cafeenfre,Thu Nov 02 00:05:31 +0000 2017,"@FoxNews @CNN Fox ""news"" you are all damn liars. Not at all what he said and you all know it. Desperation's a bitch isn't it.",0.0,0.68,0.32,-0.872
64,@CNN,Stew Bunyan,Thu Nov 02 00:05:31 +0000 2017,@LFTGLF4 @FoxNews @CNN Take fucking 2 seconds to research before you blindly accept something as truth,0.274,0.726,0.0,0.5994
65,@CNN,CNN-WORLD NEWS,Thu Nov 02 00:05:31 +0000 2017,#RT @CNN: President Trump kills rule that made it easier for people to sue banks https://t.co/pv6AkBsAlm https://t.co/m1CUkvEx18,0.131,0.704,0.164,-0.1779
66,@CNN,Mary Ramirez ?,Thu Nov 02 00:05:31 +0000 2017,@FoxNews @CNN Y'all be lying,0.0,0.541,0.459,-0.5267
67,@CNN,CNN-WORLD NEWS,Thu Nov 02 00:05:31 +0000 2017,#RT @CNN: Former first lady Michelle Obama to young people: Never tweet (sort of) https://t.co/E7HZ7sDnDd https://t.co/MuT0G5GQUf,0.0,1.0,0.0,0.0
68,@CNN,Debra Woodhouse,Thu Nov 02 00:05:30 +0000 2017,@hueyx5 @liz_lrutecki @bisepost1 @Dawn_Treloar @debrablueeyes @FoxNews @CNN Yes but not through the chosen son. JES… https://t.co/aB73ALFeXf,0.11,0.89,0.0,0.2144
69,@CNN,CNN-WORLD NEWS,Thu Nov 02 00:05:30 +0000 2017,#RT @CNN: Former President Obama wants you to know Obamacare open enrollment has begun https://t.co/9djuVdPAdY https://t.co/Qfl6Ebd6cr,0.0,1.0,0.0,0.0
70,@CNN,CNN-WORLD NEWS,Thu Nov 02 00:05:29 +0000 2017,#RT @CNN: Seen these before? You may have been targeted by Russian ads on Facebook https://t.co/eKdvVTTZCz https://t.co/A2jtSINh0q,0.0,1.0,0.0,0.0
71,@CNN,Ndngoddess,Thu Nov 02 00:05:29 +0000 2017,@FoxNews @CNN Doofus,0.0,1.0,0.0,0.0
72,@CNN,MK,Thu Nov 02 00:05:29 +0000 2017,@shaunlysen @THeinrich22 @JosephOmoOsagi1 @FoxNews @CNN They have no idea they are just caught up and it’s both pathetic and scary,0.0,0.651,0.349,-0.8442
73,@CNN,SydneyDiane,Thu Nov 02 00:05:29 +0000 2017,@FoxNews @CNN Purposely taken out of context to inflame the Cult.Nothing new here.Shameful...?????,0.0,1.0,0.0,0.0
74,@CNN,White Guy,Thu Nov 02 00:05:29 +0000 2017,"RT @WeSupport45: WOW! @AprilDRyan needs to be Fired for idiocy @CNN!
#RETWEET
Visit https://t.co/ZGQ9iC3Voc https://t.co/uNxuUrBRhP",0.236,0.599,0.166,0.3647
75,@CNN,Daniel Smith,Thu Nov 02 00:05:28 +0000 2017,@svenosaurus @sapinker @CNN *shrug* have it your way,0.0,1.0,0.0,0.0
76,@CNN,CNN-WORLD NEWS,Thu Nov 02 00:05:28 +0000 2017,#RT @CNN: Investigators found nearly 100 videos and thousands of images of ISIS propaganda on the NYC attack suspe… https://t.co/YaNmSdTpcO,0.0,0.779,0.221,-0.6249
77,@CNN,Susan Vinci,Thu Nov 02 00:05:28 +0000 2017,@neelyba @CNN You don’t know me. And I do not want to know you. Bye bye,0.0,0.92,0.08,-0.0572
78,@CNN,CmdrDarjeeling,Thu Nov 02 00:05:28 +0000 2017,@FoxNews @CNN What is the Context of how this is being discussed @FoxNews? Or are we ignoring Context?,0.0,0.847,0.153,-0.4696
79,@CNN,??Tyson Hickey??,Thu Nov 02 00:05:27 +0000 2017,@KFILE @JeffreyGoldberg @jaketapper Actually it’s exactly what @jaketapper @CNN do daily #FakeNews,0.0,1.0,0.0,0.0
80,@CNN,CNN-WORLD NEWS,Thu Nov 02 00:05:27 +0000 2017,#RT @CNN: Update: The FBI is no longer seeking information about a second individual in connection with the NYC at… https://t.co/fANF2sH7fo,0.0,0.896,0.104,-0.296
81,@CNN,Lila Lilly,Thu Nov 02 00:05:27 +0000 2017,"@msnbc @CNN @FoxNews  @NewsHour 
Let’s use faceless avatars w/the caption “Dead (wounded)Terrorist” when covering these attacks.No publicity",0.0,1.0,0.0,0.0
82,@CNN,Lisa Marie,Thu Nov 02 00:05:27 +0000 2017,@gluegun000 @realDonJTrumph @CNN So he yells in her face disrespectfully and roughly arrests her? Sounds like abuse… https://t.co/L8Q6TPlWh6,0.117,0.748,0.136,-0.1027
83,@CNN,peter leslie,Thu Nov 02 00:05:27 +0000 2017,"RT @lionheartleojai: @rhysam @BBCWorld @CNN @nytimes @AlJazeera_World @UN Let's call it for what it is:
Australia is committing crimes agai…",0.064,0.936,0.0,0.0772
84,@CNN,adam,Thu Nov 02 00:05:26 +0000 2017,"RT @tonyfelice: @WalshFreedom @CNN That one translates to ""pay your child support""",0.191,0.709,0.099,0.3182
85,@CNN,????,Thu Nov 02 00:05:25 +0000 2017,@FoxNews @CNN Get a grip. This is the reporting of lazy or disingenuous amateurs. He did not say this. You lie by removing context.,0.0,0.898,0.102,-0.3612
86,@CNN,stephen horan,Thu Nov 02 00:05:25 +0000 2017,@CNN @CNNOpinion PRESIDENT TRUMP MAKING AMERICA GREAT AGAIN WHAT A GREAT LEADER AND STATESMAN,0.468,0.532,0.0,0.8926
87,@CNN,Michelle,Thu Nov 02 00:05:25 +0000 2017,RT @CNN: The Trump administration has sought cuts to domestic counter-terror programs https://t.co/vb2L3MHa6n https://t.co/xJ3oy2eBfI,0.0,0.855,0.145,-0.296
88,@CNN,adam,Thu Nov 02 00:05:25 +0000 2017,"RT @tonyfelice: @WalshFreedom @CNN Hey Joe–""Allahu Akbar"" translates to ""God Is Great""
Here's another one that might come in handy: ""Daf'A…",0.246,0.754,0.0,0.7351
89,@CNN,Jack. Kenrie,Thu Nov 02 00:05:25 +0000 2017,@FoxNews @CNN Unhinged leftist forgot about the founders of the USA. It’s a country now. Founded by a bunch of old… https://t.co/2dDeojHaAX,0.0,1.0,0.0,0.0
90,@CNN,Franco4Life,Thu Nov 02 00:05:24 +0000 2017,@CNNPolitics @CNN Trump has NEVER acted like anything other than a Monkeys Butt,0.185,0.815,0.0,0.3612
91,@CNN,????,Thu Nov 02 00:05:23 +0000 2017,RT @CNN: The upcoming Asia trip is a chance for President Trump to act like a leader | via @CNNopinion  https://t.co/YGyhfxbK9Y https://t.c…,0.209,0.791,0.0,0.5423
92,@CNN,Karen O'Donnell,Thu Nov 02 00:05:23 +0000 2017,"RT @seanhannity: So @CNN is obsessed with Fox, NOBODY trusts them, nor should they. Thank you “irredeemable deplorable friends!” https://t.…",0.127,0.695,0.178,0.0819
93,@CNN,Helder Gil,Thu Nov 02 00:05:23 +0000 2017,@FoxNews @CNN The lack of a byline on this fake news... https://t.co/Tefp5vMlwk,0.0,0.603,0.397,-0.7118
94,@CNN,Jay Gaudinier,Thu Nov 02 00:05:21 +0000 2017,"@CNN If it was up to de Blasio, there would be ISIS flags all over the hospital. He might even use his own personal flag.",0.0,1.0,0.0,0.0
95,@CNN,Harloween,Thu Nov 02 00:05:21 +0000 2017,@freetimeectomy @FoxNews @CNN Perhaps you dont understand sarcasm,0.192,0.808,0.0,0.1695
96,@CNN,EllyDavis,Thu Nov 02 00:05:20 +0000 2017,@CNN He personally was the butt of jokes before he ran for president. Most of what he's done since has cemented that.,0.087,0.913,0.0,0.25
97,@CNN,Maggie,Thu Nov 02 00:05:20 +0000 2017,@CNN @CNNOpinion Good luck with Trump acting like a leader.,0.583,0.417,0.0,0.8126
98,@CNN,Genie,Thu Nov 02 00:05:19 +0000 2017,@FoxNews @RLTW14 @CNN What a insensitive idiot!,0.0,0.421,0.579,-0.6696
99,@CNN,camp56,Thu Nov 02 00:05:19 +0000 2017,RT @FoxNews: .@CNN 's Jake Tapper Says 'Allahu Akbar' Is 'Beautiful' Right After NYC Terror Attack https://t.co/SQ2DWKAUpr,0.0,0.698,0.302,-0.7579
100,@FoxNews,Buddy bighead,Thu Nov 02 00:06:04 +0000 2017,"RT @FoxNews: .@POTUS: ""I am today starting the process of terminating the Diversity Lottery Program."" https://t.co/Ov5e9C1dKI",0.0,1.0,0.0,0.0
101,@FoxNews,Mensans for USA,Thu Nov 02 00:06:03 +0000 2017,RT @FoxNews: .@CNN 's Jake Tapper Says 'Allahu Akbar' Is 'Beautiful' Right After NYC Terror Attack https://t.co/SQ2DWKAUpr,0.0,0.698,0.302,-0.7579
102,@FoxNews,ted Nutaits,Thu Nov 02 00:06:03 +0000 2017,"@jaketapper @FoxNews @DailyCaller @infowars fakenews' jake I'm a trippen, tells America he and his band of 2ndrate actors never lie! A lie!",0.0,1.0,0.0,0.0
103,@FoxNews,Gina De.,Thu Nov 02 00:06:03 +0000 2017,RT @IngrahamAngle: Tune in to my EXCLUSIVE interview w/ Supreme Court Justice Clarence Thomas. TONIGHT on 10p ET @FoxNews https://t.co/WcA4…,0.352,0.648,0.0,0.8494
104,@FoxNews,Jon Reynolds,Thu Nov 02 00:06:02 +0000 2017,"Trump vows to end non merit-base immigration, punish 'animals' who commit terror via the @FoxNews App https://t.co/aRp5g0mRlP",0.096,0.609,0.296,-0.6808
105,@FoxNews,BenFeminzai,Thu Nov 02 00:06:02 +0000 2017,@MCunninghamAJC @OKComputer23 @jaketapper @FoxNews @DailyCaller @infowars How is it ironic? You’re not operating in context here....,0.0,0.909,0.091,-0.128
